CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
NER,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NGA,EN.CLC.DRSK.XQ,,,,,,,,4.0,,,,,
NGA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
MNP,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
MNP,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
NOR,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
NOR,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
OMN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
OMN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PAK,EN.CLC.DRSK.XQ,,,,,,,,3.5,,,,,
PAK,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PLW,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
PLW,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PAN,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
PAN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PNG,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
PNG,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PRY,EN.CLC.DRSK.XQ,,,,,,,,3.75,,,,,
PRY,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PER,EN.CLC.DRSK.XQ,,,,,,,,3.0,,,,,
PER,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PHL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
PHL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
POL,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
POL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
PRT,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
